UserID,Preferences,Gender,NumberOfAdults,NumberOfChildren,Nature_Interest,Culture_Interest,Food_Interest,Wellness_Interest,Entertainment_Interest,Shopping_Interest,Family_Interest,Cluster,Guest_Segment
74,"Nature, Adventure",Male,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
75,"City, Historical",Male,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
76,"Beaches, Historical",Female,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
77,"Nature, Adventure",Male,2,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
78,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
79,"Beaches, Historical",Male,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
80,"Nature, Adventure",Female,1,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
81,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
82,"Beaches, Historical",Male,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
83,"Nature, Adventure",Female,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
84,"City, Historical",Female,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
85,"Beaches, Historical",Female,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
86,"Nature, Adventure",Male,2,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
87,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
88,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
89,"Nature, Adventure",Male,2,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
90,"City, Historical",Female,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
91,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
92,"Nature, Adventure",Female,2,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
93,"City, Historical",Female,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
94,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
95,"Nature, Adventure",Female,2,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
96,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
97,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
98,"Nature, Adventure",Male,2,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
99,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
100,"Beaches, Historical",Female,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
101,"Nature, Adventure",Female,2,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
102,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
103,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
104,"Nature, Adventure",Male,2,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
105,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
106,"Beaches, Historical",Male,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
107,"Nature, Adventure",Female,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
108,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
109,"Beaches, Historical",Female,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
110,"Nature, Adventure",Female,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
111,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
112,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
113,"Nature, Adventure",Male,1,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
114,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
115,"Beaches, Historical",Female,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
116,"Nature, Adventure",Male,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
117,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
118,"Beaches, Historical",Male,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
119,"Nature, Adventure",Male,2,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
120,"City, Historical",Male,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
121,"Beaches, Historical",Female,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
122,"Nature, Adventure",Male,2,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
123,"City, Historical",Female,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
124,"Beaches, Historical",Male,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
125,"Nature, Adventure",Female,2,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
126,"City, Historical",Female,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
127,"Beaches, Historical",Female,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
128,"Nature, Adventure",Male,2,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
129,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
130,"Beaches, Historical",Male,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
131,"Nature, Adventure",Female,1,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
132,"City, Historical",Female,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
133,"Beaches, Historical",Male,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
134,"Nature, Adventure",Female,1,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
135,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
136,"Beaches, Historical",Male,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
137,"Nature, Adventure",Female,1,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
138,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
139,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
140,"Nature, Adventure",Female,1,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
141,"City, Historical",Female,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
142,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
143,"Nature, Adventure",Male,1,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
144,"City, Historical",Female,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
145,"Beaches, Historical",Male,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
146,"Nature, Adventure",Female,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
147,"City, Historical",Female,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
148,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
149,"Nature, Adventure",Male,2,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
150,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
151,"Beaches, Historical",Female,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
152,"Nature, Adventure",Male,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
153,"City, Historical",Female,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
154,"Beaches, Historical",Female,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
155,"Nature, Adventure",Male,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
156,"City, Historical",Female,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
157,"Beaches, Historical",Female,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
158,"Nature, Adventure",Male,2,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
159,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
160,"Beaches, Historical",Female,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
161,"Nature, Adventure",Female,1,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
162,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
163,"Beaches, Historical",Female,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
164,"Nature, Adventure",Male,1,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
165,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
166,"Beaches, Historical",Male,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
167,"Nature, Adventure",Male,1,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
168,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
169,"Beaches, Historical",Female,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
170,"Nature, Adventure",Female,1,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
171,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
172,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
173,"Nature, Adventure",Male,2,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
174,"City, Historical",Male,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
175,"Beaches, Historical",Male,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
176,"Nature, Adventure",Male,1,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
177,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
178,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
179,"Nature, Adventure",Male,1,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
180,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
181,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
182,"Nature, Adventure",Male,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
183,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
184,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
185,"Nature, Adventure",Female,2,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
186,"City, Historical",Male,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
187,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
188,"Nature, Adventure",Female,1,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
189,"City, Historical",Female,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
190,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
191,"Nature, Adventure",Male,2,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
192,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
193,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
194,"Nature, Adventure",Female,2,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
195,"City, Historical",Male,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
196,"Beaches, Historical",Male,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
197,"Nature, Adventure",Female,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
198,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
199,"Beaches, Historical",Male,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
200,"Nature, Adventure",Male,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
201,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
202,"Beaches, Historical",Male,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
203,"Nature, Adventure",Female,2,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
204,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
205,"Beaches, Historical",Female,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
206,"Nature, Adventure",Female,2,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
207,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
208,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
209,"Nature, Adventure",Male,1,1,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
210,"City, Historical",Male,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
211,"Beaches, Historical",Female,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
212,"Nature, Adventure",Female,2,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
213,"City, Historical",Male,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
214,"Beaches, Historical",Male,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
215,"Nature, Adventure",Female,1,0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
216,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
217,"Beaches, Historical",Male,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
218,"Nature, Adventure",Female,2,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
219,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
220,"Beaches, Historical",Female,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
221,"Nature, Adventure",Male,1,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
222,"City, Historical",Male,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
223,"Beaches, Historical",Female,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
224,"Nature, Adventure",Male,2,2,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
225,"City, Historical",Female,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
226,"Beaches, Historical",Female,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,0,Nature & Wellness Explorer
