Seed_Archetype,Nature_Interest,Culture_Interest,Adventure_Interest,Food_Interest,Wellness_Interest,Entertainment_Interest,Shopping_Interest,Family_Interest
Nature & Wellness,5,2,3,1,4,1,1,1
Nature & Wellness,5,1,2,1,4,2,1,1
Nature & Wellness,5,2,3,1,5,1,1,1
Nature & Wellness,5,2,3,1,5,2,1,1
Nature & Wellness,5,2,2,2,5,1,1,2
Nature & Wellness,5,1,3,1,5,2,1,1
Nature & Wellness,4,2,2,1,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,4,1,1,1,5,1,1,1
Nature & Wellness,5,3,2,2,5,1,1,1
Nature & Wellness,5,2,2,2,4,1,1,1
Nature & Wellness,5,1,3,1,5,1,1,1
Nature & Wellness,5,2,2,2,5,1,2,1
Nature & Wellness,5,2,2,1,5,2,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,4,2,2,2,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,2
Nature & Wellness,5,3,2,1,5,1,1,1
Nature & Wellness,5,2,3,1,5,1,1,2
Nature & Wellness,4,2,1,1,5,1,1,1
Nature & Wellness,3,2,3,1,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,2
Nature & Wellness,4,2,3,1,5,1,2,1
Nature & Wellness,5,3,2,1,5,1,1,1
Nature & Wellness,5,3,1,1,4,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,5,3,2,1,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,5,2,1,1,5,1,1,1
Nature & Wellness,5,3,2,1,4,1,1,1
Nature & Wellness,5,3,1,1,5,2,1,1
Nature & Wellness,5,1,1,1,5,1,1,1
Nature & Wellness,5,2,3,1,5,1,1,1
Nature & Wellness,4,2,1,1,4,1,1,1
Nature & Wellness,5,2,2,2,5,1,1,1
Nature & Wellness,5,2,2,2,4,1,2,2
Nature & Wellness,5,1,2,1,5,1,1,1
Nature & Wellness,4,2,3,1,5,1,1,1
Nature & Wellness,5,2,3,1,5,1,1,1
Nature & Wellness,5,2,3,1,4,1,1,1
Nature & Wellness,5,1,1,1,5,1,1,1
Nature & Wellness,5,1,2,1,5,1,1,1
Nature & Wellness,5,2,3,1,5,1,1,2
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,4,1,1,1,5,1,1,1
Nature & Wellness,5,1,1,1,5,1,1,1
Nature & Wellness,4,2,2,1,4,1,1,1
Nature & Wellness,5,3,1,1,4,2,1,1
Nature & Wellness,4,1,2,1,5,1,1,1
Nature & Wellness,5,2,1,1,5,2,1,1
Nature & Wellness,5,3,3,1,5,1,1,1
Nature & Wellness,4,3,3,2,4,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,4,3,3,2,5,2,1,1
Nature & Wellness,4,2,2,1,5,1,2,1
Nature & Wellness,5,2,2,1,4,1,1,1
Nature & Wellness,5,2,1,1,5,2,2,1
Nature & Wellness,5,1,2,1,5,2,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,5,2,2,1,5,2,1,1
Nature & Wellness,4,2,2,1,5,1,1,2
Nature & Wellness,4,2,2,1,5,2,2,1
Nature & Wellness,5,2,3,1,5,1,3,1
Nature & Wellness,5,3,2,1,5,1,1,1
Nature & Wellness,5,2,1,1,4,1,1,1
Nature & Wellness,5,2,1,1,5,1,1,1
Nature & Wellness,5,2,1,1,5,1,1,1
Nature & Wellness,5,3,1,1,4,1,2,1
Nature & Wellness,4,1,2,1,5,1,1,2
Nature & Wellness,5,2,2,1,5,1,1,2
Nature & Wellness,5,3,2,1,5,1,1,1
Nature & Wellness,5,2,3,2,5,1,2,1
Nature & Wellness,5,2,2,1,5,2,1,1
Nature & Wellness,5,2,2,1,5,2,1,1
Nature & Wellness,4,2,3,1,5,1,1,2
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,5,1,2,2,5,2,1,1
Nature & Wellness,5,2,1,1,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,5,2,1,1,5,1,1,1
Nature & Wellness,5,2,1,1,5,1,1,2
Nature & Wellness,5,3,2,1,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,5,2,1,2,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,4,2,1,1,5,2,2,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,4,3,2,1,5,1,1,1
Nature & Wellness,4,2,1,1,5,2,1,2
Nature & Wellness,5,2,2,1,5,2,1,2
Nature & Wellness,5,2,1,1,5,1,1,1
Nature & Wellness,5,1,1,1,5,3,1,2
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,2
Nature & Wellness,5,2,3,2,5,1,1,1
Nature & Wellness,4,2,1,1,5,1,2,1
Nature & Wellness,4,2,2,1,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,2,1
Nature & Wellness,5,1,2,1,5,2,1,2
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,5,2,2,1,5,2,1,2
Nature & Wellness,5,2,2,1,5,2,1,1
Nature & Wellness,4,2,2,1,4,1,2,2
Nature & Wellness,5,2,1,1,5,1,1,1
Nature & Wellness,5,2,2,1,4,1,1,1
Nature & Wellness,5,1,2,1,5,1,2,2
Nature & Wellness,5,2,3,2,4,1,2,1
Nature & Wellness,4,2,2,1,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,4,1,1,2,5,2,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,4,2,2,1,5,1,1,2
Nature & Wellness,5,1,3,1,5,1,1,1
Nature & Wellness,5,1,3,2,5,1,1,1
Nature & Wellness,5,2,3,1,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,2,2
Nature & Wellness,5,2,2,1,5,2,1,1
Nature & Wellness,5,1,1,1,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,4,2,1,1,5,1,1,1
Nature & Wellness,5,1,1,2,3,1,1,1
Nature & Wellness,5,2,2,2,5,1,1,2
Nature & Wellness,5,2,2,1,5,2,1,1
Nature & Wellness,5,2,1,1,5,1,1,2
Nature & Wellness,5,2,3,1,5,1,1,1
Nature & Wellness,4,3,2,1,5,1,1,1
Nature & Wellness,4,2,3,1,5,1,1,1
Nature & Wellness,5,3,1,1,5,1,1,2
Nature & Wellness,5,3,1,1,5,1,1,1
Nature & Wellness,5,2,2,2,5,1,1,1
Nature & Wellness,4,2,3,1,5,1,1,2
Nature & Wellness,5,2,1,2,5,1,1,1
Nature & Wellness,5,2,2,1,5,1,1,1
Nature & Wellness,5,2,2,2,4,2,2,1
Nature & Wellness,5,3,3,1,5,1,1,2
Nature & Wellness,5,1,2,2,5,1,1,1
Nature & Wellness,5,1,2,1,5,1,1,2
Nature & Adventure,5,1,4,2,2,2,2,3
Nature & Adventure,5,1,5,1,2,2,2,2
Nature & Adventure,5,1,5,1,3,2,1,2
Nature & Adventure,5,1,4,1,1,1,1,3
Nature & Adventure,5,1,5,1,3,1,1,3
Nature & Adventure,5,1,5,1,2,2,1,1
Nature & Adventure,5,1,5,1,2,1,1,1
Nature & Adventure,5,1,5,1,2,2,2,2
Nature & Adventure,5,1,4,1,3,2,1,2
Nature & Adventure,5,1,4,1,2,3,1,1
Nature & Adventure,4,1,5,1,2,3,2,2
Nature & Adventure,4,1,5,1,3,1,2,1
Nature & Adventure,5,1,4,2,2,2,1,2
Nature & Adventure,5,1,4,1,2,2,1,2
Nature & Adventure,5,1,4,1,2,2,1,2
Nature & Adventure,5,1,5,1,1,2,1,2
Nature & Adventure,5,1,5,1,2,2,1,1
Nature & Adventure,5,2,4,1,3,2,1,2
Nature & Adventure,5,1,4,2,1,2,1,1
Nature & Adventure,5,1,5,1,2,2,2,1
Nature & Adventure,5,2,5,1,2,3,1,2
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,1,5,1,2,2,1,3
Nature & Adventure,5,2,4,2,2,3,1,2
Nature & Adventure,5,1,5,2,1,3,1,2
Nature & Adventure,4,1,4,1,1,2,1,3
Nature & Adventure,5,1,5,2,2,2,1,1
Nature & Adventure,5,1,5,1,3,1,1,3
Nature & Adventure,5,1,5,1,2,2,1,1
Nature & Adventure,5,1,5,1,3,2,1,2
Nature & Adventure,4,1,5,2,2,2,1,2
Nature & Adventure,5,1,5,1,1,2,1,2
Nature & Adventure,5,2,4,1,1,2,1,1
Nature & Adventure,5,2,5,1,3,2,1,1
Nature & Adventure,5,1,4,1,2,2,1,1
Nature & Adventure,5,1,5,2,3,2,1,2
Nature & Adventure,5,1,5,1,2,1,1,3
Nature & Adventure,4,1,5,1,2,3,1,1
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,1,5,1,3,3,1,2
Nature & Adventure,4,1,5,1,1,2,1,2
Nature & Adventure,4,3,5,1,1,3,2,2
Nature & Adventure,4,1,4,2,2,2,1,1
Nature & Adventure,5,2,5,1,2,3,1,2
Nature & Adventure,5,1,4,1,2,2,1,2
Nature & Adventure,5,1,5,1,2,1,1,2
Nature & Adventure,5,2,4,1,2,2,1,2
Nature & Adventure,5,2,5,1,1,2,2,2
Nature & Adventure,5,1,5,2,2,2,1,2
Nature & Adventure,4,1,5,1,2,2,2,2
Nature & Adventure,5,1,5,1,1,1,1,1
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,2,5,1,2,1,2,3
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,1,4,1,2,3,2,1
Nature & Adventure,5,2,5,1,1,2,1,2
Nature & Adventure,4,1,5,1,1,1,1,2
Nature & Adventure,4,1,5,1,2,3,1,2
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,1,5,1,2,3,1,1
Nature & Adventure,4,2,4,2,2,1,1,1
Nature & Adventure,5,1,4,1,2,3,1,3
Nature & Adventure,5,1,5,1,1,2,1,1
Nature & Adventure,5,1,5,1,2,3,1,2
Nature & Adventure,4,1,5,1,2,1,1,2
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,1,5,1,2,3,1,2
Nature & Adventure,4,1,5,1,2,2,1,2
Nature & Adventure,5,1,5,1,2,1,1,2
Nature & Adventure,5,2,5,1,2,2,1,3
Nature & Adventure,5,1,5,1,1,3,1,1
Nature & Adventure,5,1,4,2,2,2,2,2
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,4,1,5,1,2,2,2,2
Nature & Adventure,5,1,5,1,2,3,1,2
Nature & Adventure,5,1,5,1,1,1,1,2
Nature & Adventure,5,1,5,1,3,4,1,2
Nature & Adventure,5,1,5,1,1,3,1,2
Nature & Adventure,5,1,5,1,2,2,1,1
Nature & Adventure,4,1,5,1,2,2,1,1
Nature & Adventure,5,1,4,1,3,2,1,2
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,1,4,2,2,1,1,2
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,1,5,1,2,2,2,2
Nature & Adventure,5,2,5,2,2,2,1,2
Nature & Adventure,5,1,5,2,2,2,2,2
Nature & Adventure,5,1,4,2,2,2,1,2
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,1,5,1,2,3,3,1
Nature & Adventure,5,1,5,1,2,1,1,2
Nature & Adventure,5,1,5,1,3,2,1,1
Nature & Adventure,4,1,5,1,3,2,1,1
Nature & Adventure,4,1,5,1,2,2,1,2
Nature & Adventure,5,1,5,1,3,2,1,2
Nature & Adventure,5,1,5,2,3,3,1,2
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,4,1,5,1,3,2,1,1
Nature & Adventure,4,2,4,1,2,2,1,2
Nature & Adventure,5,1,4,2,2,2,1,2
Nature & Adventure,5,2,4,1,2,1,2,1
Nature & Adventure,5,1,5,1,1,2,1,2
Nature & Adventure,5,1,5,1,1,2,1,1
Nature & Adventure,5,1,5,1,1,3,1,1
Nature & Adventure,5,1,5,1,2,2,1,3
Nature & Adventure,5,1,5,2,3,2,2,3
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,1,5,1,3,2,1,2
Nature & Adventure,5,1,5,1,2,2,2,2
Nature & Adventure,5,2,5,1,1,2,1,3
Nature & Adventure,5,2,5,1,2,2,1,2
Nature & Adventure,5,1,5,1,3,2,1,2
Nature & Adventure,5,1,5,1,3,2,1,2
Nature & Adventure,5,1,4,1,2,2,2,3
Nature & Adventure,5,1,5,1,3,3,2,2
Nature & Adventure,5,1,4,1,2,3,1,1
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,1,4,1,3,2,1,2
Nature & Adventure,4,1,5,1,2,2,1,2
Nature & Adventure,5,2,5,1,2,1,1,2
Nature & Adventure,4,1,5,2,1,1,2,3
Nature & Adventure,5,1,5,1,1,2,2,2
Nature & Adventure,5,2,5,1,2,3,1,3
Nature & Adventure,4,1,5,1,1,2,2,2
Nature & Adventure,5,1,4,1,2,3,1,2
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,1,4,1,1,1,1,1
Nature & Adventure,5,1,5,2,2,2,1,2
Nature & Adventure,5,1,5,1,1,2,1,2
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,1,5,1,2,2,2,3
Nature & Adventure,5,1,5,2,2,2,2,2
Nature & Adventure,5,2,5,1,2,2,1,3
Nature & Adventure,5,1,5,1,2,3,1,1
Nature & Adventure,5,2,5,1,3,2,1,2
Nature & Adventure,5,1,5,1,2,2,1,3
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,1,5,2,1,2,1,2
Nature & Adventure,5,1,5,1,1,2,2,3
Nature & Adventure,5,1,5,2,3,1,1,2
Nature & Adventure,4,1,5,1,3,2,1,2
Nature & Adventure,5,1,5,2,1,3,1,2
Nature & Adventure,5,2,5,2,2,2,1,3
Nature & Adventure,5,1,4,1,3,2,1,3
Nature & Adventure,5,2,5,1,3,2,1,2
Nature & Adventure,5,1,4,1,2,2,1,2
Nature & Adventure,5,2,5,2,2,2,2,2
Nature & Adventure,5,1,5,2,2,2,1,1
Nature & Adventure,5,1,5,2,2,2,1,2
Nature & Adventure,5,1,4,1,3,2,2,2
Nature & Adventure,5,2,4,1,3,2,1,2
Nature & Adventure,5,1,5,1,1,2,1,1
Nature & Adventure,5,1,5,1,2,2,1,3
Nature & Adventure,5,1,5,1,3,2,1,2
Nature & Adventure,5,1,5,1,1,2,1,2
Nature & Adventure,5,1,4,1,2,2,2,3
Nature & Adventure,5,1,5,1,2,1,1,3
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,1,5,1,2,2,2,1
Nature & Adventure,5,2,4,1,2,2,1,2
Nature & Adventure,5,1,4,1,3,2,1,2
Nature & Adventure,4,1,5,2,2,2,1,1
Nature & Adventure,5,2,5,1,2,2,1,2
Nature & Adventure,4,1,5,1,2,2,1,2
Nature & Adventure,5,1,5,1,2,2,1,3
Nature & Adventure,5,1,5,1,2,2,1,3
Nature & Adventure,5,1,5,1,3,2,1,3
Nature & Adventure,5,1,5,1,2,2,2,2
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,5,2,5,1,2,2,2,1
Nature & Adventure,5,1,5,1,2,2,1,2
Nature & Adventure,4,1,5,1,1,2,1,1
Nature & Adventure,5,1,5,2,1,3,1,3
Nature & Adventure,5,1,5,1,2,2,2,2
Nature & Adventure,5,2,5,1,2,1,1,2
Nature & Adventure,5,2,5,2,3,2,1,3
Nature & Adventure,5,1,5,1,1,2,1,4
Nature & Adventure,4,1,5,2,2,2,1,2
Nature & Adventure,4,1,5,1,1,2,1,2
Culture & Food,1,5,1,5,1,2,2,2
Culture & Food,1,5,1,5,1,2,2,1
Culture & Food,2,5,1,5,1,1,3,2
Culture & Food,1,5,2,5,1,2,2,3
Culture & Food,1,4,1,5,2,3,1,3
Culture & Food,1,5,1,5,1,2,2,2
Culture & Food,1,5,1,5,2,3,2,1
Culture & Food,1,5,1,5,2,3,2,2
Culture & Food,1,5,2,5,1,3,1,2
Culture & Food,1,4,1,4,1,2,2,3
Culture & Food,1,5,1,5,1,1,3,2
Culture & Food,2,5,2,5,1,2,2,2
Culture & Food,1,5,1,5,1,3,2,2
Culture & Food,1,5,1,5,1,3,2,3
Culture & Food,1,5,1,5,1,3,2,2
Culture & Food,2,5,2,4,1,2,1,3
Culture & Food,1,5,2,5,1,2,3,2
Culture & Food,1,5,1,4,1,3,2,2
Culture & Food,1,5,1,4,1,2,2,2
Culture & Food,1,5,2,5,1,2,2,2
Culture & Food,2,5,1,5,1,2,2,2
Culture & Food,1,5,2,4,1,2,2,1
Culture & Food,1,5,1,5,2,2,3,2
Culture & Food,1,5,1,5,2,2,2,2
Culture & Food,1,5,2,5,1,1,1,3
Culture & Food,1,4,1,5,1,2,1,2
Culture & Food,1,5,2,5,2,2,3,1
Culture & Food,2,5,2,5,1,2,2,3
Culture & Food,1,5,1,5,1,2,2,3
Culture & Food,2,5,1,5,1,2,2,1
Culture & Food,1,5,1,5,1,2,2,2
Culture & Food,1,5,1,5,1,2,2,1
Culture & Food,2,5,1,5,1,4,2,2
Culture & Food,1,5,1,5,2,2,2,2
Culture & Food,1,5,1,5,2,2,1,2
Culture & Food,1,5,1,5,1,2,2,2
Culture & Food,1,4,2,5,2,2,2,1
Culture & Food,1,5,1,5,1,1,2,2
Culture & Food,1,4,1,5,1,1,1,2
Culture & Food,1,4,1,5,1,2,3,2
Culture & Food,1,5,1,5,1,2,2,2
Culture & Food,2,5,1,5,1,1,3,2
Culture & Food,1,5,2,5,2,2,1,1
Culture & Food,1,5,1,5,1,1,2,3
Culture & Food,1,5,1,5,2,2,3,1
Culture & Food,2,5,1,5,1,2,2,1
Culture & Food,1,5,2,5,1,3,2,2
Culture & Food,1,5,1,5,1,1,2,3
Culture & Food,1,5,1,5,1,2,3,2
Culture & Food,1,5,1,4,2,1,2,2
Culture & Food,2,5,1,5,1,3,1,3
Culture & Food,1,4,1,5,1,2,2,2
Culture & Food,1,5,1,5,1,3,3,3
Culture & Food,3,5,1,5,1,2,2,2
Culture & Food,1,5,2,5,1,2,3,2
Culture & Food,1,5,1,5,2,2,2,2
Culture & Food,1,5,1,5,1,2,2,2
Culture & Food,1,5,1,4,1,2,3,2
Culture & Food,1,5,1,5,1,1,2,2
Culture & Food,1,5,1,4,1,2,1,2
Culture & Food,1,4,1,4,1,1,2,2
Culture & Food,1,5,1,4,1,2,2,2
Culture & Food,1,5,1,5,1,2,3,2
Culture & Food,1,5,1,5,1,2,1,1
Culture & Food,1,4,1,5,1,2,1,2
Culture & Food,1,5,1,5,1,1,2,3
Culture & Food,1,5,1,4,1,2,1,2
Culture & Food,1,5,1,5,1,2,3,1
Culture & Food,3,5,1,5,2,2,1,3
Culture & Food,1,5,1,5,1,2,2,3
Culture & Food,2,5,1,5,2,2,2,3
Culture & Food,1,5,1,5,2,2,3,2
Culture & Food,1,4,1,5,1,1,1,1
Culture & Food,1,5,2,4,2,3,1,2
Culture & Food,2,5,1,5,1,2,3,2
Culture & Food,1,5,2,5,1,3,2,2
Culture & Food,1,5,1,4,1,2,3,2
Culture & Food,2,5,1,5,1,3,2,1
Culture & Food,1,5,1,5,1,1,2,1
Culture & Food,1,5,1,5,1,2,2,2
Culture & Food,1,5,1,4,1,3,2,1
Culture & Food,1,5,2,5,2,2,2,1
Culture & Food,2,5,1,5,1,2,2,2
Culture & Food,1,5,2,5,1,2,2,1
Culture & Food,2,4,2,5,1,2,2,2
Culture & Food,1,5,1,5,2,3,2,1
Culture & Food,1,5,1,5,1,2,2,1
Culture & Food,1,5,1,4,1,3,2,2
Culture & Food,1,5,1,5,1,2,2,3
Culture & Food,2,5,1,5,1,2,1,3
Culture & Food,2,5,1,5,1,2,1,3
Culture & Food,1,5,1,5,1,2,1,2
Culture & Food,2,5,1,5,1,2,2,3
Culture & Food,1,5,1,4,2,2,2,3
Culture & Food,1,5,1,4,1,3,2,1
Culture & Food,1,5,1,5,1,1,3,2
Culture & Food,2,5,2,5,1,2,2,2
Culture & Food,1,5,1,5,1,2,2,2
Culture & Food,1,4,1,4,1,2,2,2
Culture & Food,1,4,1,5,1,2,2,2
Culture & Food,1,5,1,5,1,2,1,2
Culture & Food,2,5,1,5,1,1,3,2
Culture & Food,1,5,1,4,1,2,2,2
Culture & Food,1,5,1,5,1,2,2,2
Culture & Food,1,5,1,5,1,2,2,2
Culture & Food,1,5,2,5,1,3,2,2
Culture & Food,1,5,1,5,3,2,2,2
Culture & Food,1,5,1,5,1,2,1,2
Culture & Food,3,5,1,5,1,3,2,2
Culture & Food,1,5,1,5,1,1,2,1
Culture & Food,1,5,1,5,1,3,3,2
Culture & Food,2,5,1,4,1,2,3,1
Culture & Food,1,5,1,4,1,1,1,3
Culture & Food,2,4,1,5,2,2,2,3
Culture & Food,1,5,1,5,1,1,2,2
Culture & Food,1,5,1,5,2,1,2,2
Culture & Food,1,5,1,5,1,2,3,2
Culture & Food,1,5,2,5,2,3,2,2
Culture & Food,1,5,1,5,1,1,1,3
Culture & Food,1,5,2,5,1,2,2,2
Culture & Food,1,5,1,5,1,1,2,4
Culture & Food,1,5,1,5,1,2,2,1
Culture & Food,1,5,1,5,1,2,1,3
Culture & Food,1,4,1,5,1,2,2,1
Culture & Food,1,4,1,5,1,2,1,2
Culture & Food,1,5,1,5,1,2,1,2
Culture & Food,1,5,1,4,1,1,2,1
Culture & Food,1,5,1,5,1,2,1,2
Culture & Food,1,5,1,4,1,1,3,3
Culture & Food,1,4,1,5,1,2,2,2
Culture & Food,1,5,1,5,1,2,2,1
Culture & Food,1,5,1,5,1,3,2,2
Culture & Food,2,5,1,5,1,2,2,2
Culture & Food,2,5,2,4,1,2,2,3
Culture & Food,1,5,1,4,1,3,2,2
Culture & Food,2,5,1,5,1,2,1,1
Culture & Food,1,4,1,5,1,3,2,2
Culture & Food,1,5,1,5,1,2,2,1
Culture & Food,1,5,1,5,2,2,2,1
Culture & Food,1,5,1,5,2,2,2,1
Culture & Food,1,5,1,5,2,2,2,2
Culture & Food,1,5,1,5,1,3,2,2
Culture & Food,2,5,1,5,1,2,1,1
Culture & Food,1,4,1,5,1,2,1,2
Culture & Food,1,5,1,5,2,2,2,2
Culture & Food,1,5,1,4,1,2,2,2
Culture & Food,1,5,1,5,1,2,2,2
Culture & Food,1,5,1,5,1,3,2,2
Culture & Food,1,5,1,5,1,1,2,2
Culture & Food,1,5,1,5,1,2,2,2
Culture & Food,2,5,1,5,2,2,2,1
Culture & Food,1,5,2,5,1,1,2,1
Culture & Food,1,5,1,5,1,2,2,3
Culture & Food,1,5,1,5,2,2,2,2
Culture & Food,1,5,1,5,2,3,2,2
Culture & Food,1,5,1,5,1,2,3,2
Culture & Food,1,4,2,5,1,2,1,2
Culture & Food,2,5,1,5,1,4,2,2
Culture & Food,2,4,1,5,1,1,2,3
Culture & Food,1,5,1,5,1,3,3,2
Culture & Food,1,4,1,4,1,2,1,1
Culture & Food,1,5,2,5,1,2,1,2
Culture & Food,1,5,1,5,2,2,1,3
Culture & Food,1,5,1,5,1,3,3,2
Culture & Food,1,4,2,5,1,1,1,2
Culture & Food,1,4,1,5,2,2,2,2
Culture & Food,2,5,1,5,1,2,2,3
Culture & Food,2,5,2,5,2,2,4,1
Culture & Food,1,5,1,5,1,2,3,2
Culture & Food,1,5,2,5,1,2,2,2
Culture & Food,1,5,1,5,1,2,2,2
Culture & Food,1,5,1,5,1,1,2,3
Culture & Food,1,5,2,5,1,3,2,2
Culture & Food,1,5,1,5,2,2,1,1
Culture & Food,1,5,1,5,1,2,2,1
Culture & Food,2,4,1,5,1,3,2,2
Culture & Food,1,5,1,4,1,3,2,2
Culture & Food,1,5,2,5,1,3,2,2
Culture & Food,1,5,1,5,1,1,2,2
Culture & Food,1,5,1,5,1,2,1,4
Family & Entertainment,2,1,1,2,1,5,2,5
Family & Entertainment,2,1,3,1,2,5,1,5
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,2,1,2,1,1,5,1,4
Family & Entertainment,2,1,1,2,1,5,1,5
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,2,1,1,2,1,5,1,4
Family & Entertainment,1,1,2,1,2,5,1,5
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,1,1,1,2,1,5,1,4
Family & Entertainment,2,1,2,3,1,5,1,5
Family & Entertainment,2,1,3,2,1,5,1,5
Family & Entertainment,3,1,2,3,2,5,1,5
Family & Entertainment,1,1,2,1,1,4,1,4
Family & Entertainment,2,1,3,2,1,5,1,4
Family & Entertainment,2,1,2,1,1,4,1,5
Family & Entertainment,3,1,2,2,1,5,1,5
Family & Entertainment,2,1,2,2,1,5,2,5
Family & Entertainment,3,1,2,2,2,5,1,5
Family & Entertainment,3,1,2,2,1,5,1,5
Family & Entertainment,2,1,2,2,1,5,2,4
Family & Entertainment,2,1,3,2,1,4,1,4
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,2,2,2,1,1,5,1,5
Family & Entertainment,3,1,2,3,1,5,1,4
Family & Entertainment,1,1,2,2,2,4,1,5
Family & Entertainment,2,2,2,2,2,4,1,5
Family & Entertainment,1,1,1,2,2,5,1,4
