UserID,Preferences,Gender,NumberOfAdults,NumberOfChildren,Nature_Interest,Culture_Interest,Adventure_Interest,Food_Interest,Wellness_Interest,Entertainment_Interest,Shopping_Interest,Family_Interest
48,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
49,"Beaches, Historical",Male,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
50,"Nature, Adventure",Female,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
51,"City, Historical",Male,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
52,"Beaches, Historical",Female,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
53,"Nature, Adventure",Male,2,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
54,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
55,"Beaches, Historical",Female,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
56,"Nature, Adventure",Male,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
57,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
58,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
59,"Nature, Adventure",Male,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
60,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
61,"Beaches, Historical",Male,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
62,"Nature, Adventure",Male,1,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
63,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
64,"Beaches, Historical",Male,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
65,"Nature, Adventure",Female,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
66,"City, Historical",Male,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
67,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
68,"Nature, Adventure",Male,1,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
69,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
70,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
71,"Nature, Adventure",Female,2,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
72,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
73,"Beaches, Historical",Female,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
74,"Nature, Adventure",Male,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
75,"City, Historical",Male,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
76,"Beaches, Historical",Female,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
77,"Nature, Adventure",Male,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
78,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
79,"Beaches, Historical",Male,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
80,"Nature, Adventure",Female,1,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
81,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
82,"Beaches, Historical",Male,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
83,"Nature, Adventure",Female,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
84,"City, Historical",Female,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
85,"Beaches, Historical",Female,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
86,"Nature, Adventure",Male,2,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
87,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
88,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
89,"Nature, Adventure",Male,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
90,"City, Historical",Female,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
91,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
92,"Nature, Adventure",Female,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
93,"City, Historical",Female,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
94,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
95,"Nature, Adventure",Female,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
96,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
97,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
98,"Nature, Adventure",Male,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
99,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
100,"Beaches, Historical",Female,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
101,"Nature, Adventure",Female,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
102,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
103,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
104,"Nature, Adventure",Male,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
105,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
106,"Beaches, Historical",Male,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
107,"Nature, Adventure",Female,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
108,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
109,"Beaches, Historical",Female,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
110,"Nature, Adventure",Female,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
111,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
112,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
113,"Nature, Adventure",Male,1,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
114,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
115,"Beaches, Historical",Female,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
116,"Nature, Adventure",Male,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
117,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
118,"Beaches, Historical",Male,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
119,"Nature, Adventure",Male,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
120,"City, Historical",Male,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
121,"Beaches, Historical",Female,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
122,"Nature, Adventure",Male,2,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
123,"City, Historical",Female,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
124,"Beaches, Historical",Male,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
125,"Nature, Adventure",Female,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
126,"City, Historical",Female,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
127,"Beaches, Historical",Female,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
128,"Nature, Adventure",Male,2,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
129,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
130,"Beaches, Historical",Male,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
131,"Nature, Adventure",Female,1,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
132,"City, Historical",Female,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
133,"Beaches, Historical",Male,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
134,"Nature, Adventure",Female,1,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
135,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
136,"Beaches, Historical",Male,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
137,"Nature, Adventure",Female,1,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
138,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
139,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
140,"Nature, Adventure",Female,1,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
141,"City, Historical",Female,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
142,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
143,"Nature, Adventure",Male,1,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
144,"City, Historical",Female,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
145,"Beaches, Historical",Male,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
146,"Nature, Adventure",Female,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
147,"City, Historical",Female,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
148,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
149,"Nature, Adventure",Male,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
150,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
151,"Beaches, Historical",Female,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
152,"Nature, Adventure",Male,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
153,"City, Historical",Female,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
154,"Beaches, Historical",Female,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
155,"Nature, Adventure",Male,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
156,"City, Historical",Female,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
157,"Beaches, Historical",Female,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
158,"Nature, Adventure",Male,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
159,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
160,"Beaches, Historical",Female,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
161,"Nature, Adventure",Female,1,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
162,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
163,"Beaches, Historical",Female,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
164,"Nature, Adventure",Male,1,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
165,"City, Historical",Male,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
166,"Beaches, Historical",Male,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
167,"Nature, Adventure",Male,1,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
168,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
169,"Beaches, Historical",Female,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
170,"Nature, Adventure",Female,1,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
171,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
172,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
173,"Nature, Adventure",Male,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
174,"City, Historical",Male,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
175,"Beaches, Historical",Male,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
176,"Nature, Adventure",Male,1,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
177,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
178,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
179,"Nature, Adventure",Male,1,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
180,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
181,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
182,"Nature, Adventure",Male,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
183,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
184,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
185,"Nature, Adventure",Female,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
186,"City, Historical",Male,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
187,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
188,"Nature, Adventure",Female,1,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
189,"City, Historical",Female,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
190,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
191,"Nature, Adventure",Male,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
192,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
193,"Beaches, Historical",Female,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
194,"Nature, Adventure",Female,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
195,"City, Historical",Male,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
196,"Beaches, Historical",Male,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
197,"Nature, Adventure",Female,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
198,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
199,"Beaches, Historical",Male,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
200,"Nature, Adventure",Male,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
201,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
202,"Beaches, Historical",Male,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
203,"Nature, Adventure",Female,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
204,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
205,"Beaches, Historical",Female,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
206,"Nature, Adventure",Female,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
207,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
208,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
209,"Nature, Adventure",Male,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
210,"City, Historical",Male,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
211,"Beaches, Historical",Female,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
212,"Nature, Adventure",Female,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
213,"City, Historical",Male,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
214,"Beaches, Historical",Male,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
215,"Nature, Adventure",Female,1,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
216,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
217,"Beaches, Historical",Male,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
218,"Nature, Adventure",Female,2,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
219,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
220,"Beaches, Historical",Female,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
221,"Nature, Adventure",Male,1,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
222,"City, Historical",Male,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
223,"Beaches, Historical",Female,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
224,"Nature, Adventure",Male,2,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
225,"City, Historical",Female,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
226,"Beaches, Historical",Female,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
227,"Nature, Adventure",Male,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
228,"City, Historical",Female,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
229,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
230,"Nature, Adventure",Female,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
231,"City, Historical",Female,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
232,"Beaches, Historical",Male,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
233,"Nature, Adventure",Male,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
234,"City, Historical",Male,1,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
235,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
236,"Nature, Adventure",Male,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
237,"City, Historical",Female,2,0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
238,"Beaches, Historical",Female,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
239,"Nature, Adventure",Male,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
240,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
241,"Beaches, Historical",Female,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
242,"Nature, Adventure",Female,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
243,"City, Historical",Female,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
244,"Beaches, Historical",Male,2,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
245,"Nature, Adventure",Male,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
246,"City, Historical",Female,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
247,"Beaches, Historical",Female,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
248,"Nature, Adventure",Female,1,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
249,"City, Historical",Male,1,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
250,"Beaches, Historical",Male,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
251,"Nature, Adventure",Female,2,2,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
252,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
253,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
254,"Nature, Adventure",Female,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
255,"City, Historical",Female,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
256,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
257,"Nature, Adventure",Female,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
258,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
259,"Beaches, Historical",Male,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
260,"Nature, Adventure",Female,1,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
261,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
262,"Beaches, Historical",Female,2,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
263,"Nature, Adventure",Male,1,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
264,"City, Historical",Female,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
265,"Beaches, Historical",Male,1,0,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
266,"Nature, Adventure",Male,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
267,"City, Historical",Female,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
268,"Beaches, Historical",Female,1,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
269,"Nature, Adventure",Male,2,1,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
270,"City, Historical",Male,2,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
271,"Beaches, Historical",Male,2,1,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
272,"Nature, Adventure",Male,2,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
273,"City, Historical",Male,2,1,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
274,"Beaches, Historical",Male,1,2,4.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
275,"Nature, Adventure",Female,1,0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0
276,"City, Historical",Male,1,2,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0
